@relation 'flchain'
@attribute 'age' numeric
@attribute 'sex' {'F','M'}
@attribute 'sample.yr' numeric
@attribute 'kappa' numeric
@attribute 'lambda' numeric
@attribute 'flc.grp' {'1','10','2','3','4','5','6','7','8','9'}
@attribute 'mgus' {'0','1'}
@attribute 'time' numeric
@attribute 'status' numeric
@data
84,"F",1996,1,1.39,"4","0",559,1
55,"F",1998,1.57,1.8,"7","0",4043,0
63,"M",1995,0.97,1.32,"3","0",2900,0
78,"F",1995,1.14,1.52,"5","0",218,1
65,"M",1999,1.81,2.56,"9","0",3546,0
80,"F",1995,2.5,4.01,"10","0",1574,1
77,"M",1995,0.97,1.25,"3","0",2299,1
58,"F",2003,1.77,1.36,"7","0",2286,0
61,"F",1998,1.62,2.323,"9","0",694,1
56,"F",1996,0.915,0.97,"2","0",4617,0
52,"M",1996,1.01,1.76,"5","0",4859,0
66,"M",1995,1.33,1.79,"7","0",4168,1
56,"F",1997,0.99,0.949,"2","0",4466,0
64,"F",1995,0.94,1.15,"3","0",4967,0
57,"F",1996,1.53,2.12,"8","0",4863,0
71,"F",1997,1.56,2.42,"9","0",7,1
51,"F",1996,0.903,1.77,"5","0",4695,0
70,"M",1996,1.04,1.25,"3","0",4643,0
56,"F",1995,0.71,1.24,"2","0",4946,0
50,"F",1996,0.69,1,"1","0",2132,0
86,"M",1996,3.95,3.27,"10","0",2819,1
63,"M",1995,1.68,1.45,"7","0",4939,0
54,"M",1998,1.97,2.58,"9","0",3948,0
90,"F",1995,1.87,1.87,"8","0",2048,1
69,"F",1996,0.7,1.54,"3","0",4921,0
64,"F",1997,2.2,1.51,"8","0",4414,1
68,"F",1996,0.988,1.65,"5","0",4592,0
61,"M",1996,1.89,2.88,"10","0",2074,1
62,"F",1995,0.44,1.04,"1","0",4257,0
61,"F",1996,1.06,1.35,"4","0",4864,0
70,"F",1995,0.97,2.11,"7","0",4949,0
53,"M",1997,1.29,1.24,"4","0",4536,0
56,"M",1995,0.97,1.29,"3","0",4633,0
57,"F",1996,1.52,1.62,"7","0",4838,0
69,"M",1996,2.46,2.31,"10","0",4720,0
70,"F",1996,1.07,2.07,"7","0",4883,0
72,"M",2002,1.35,1.76,"7","0",2512,0
58,"M",2003,1.43,1.46,"6","0",2134,0
60,"F",1996,1.02,1.14,"3","0",4835,0
51,"M",1997,0.846,0.366,"1","1",4458,0
51,"M",1996,0.97,0.9,"2","0",4928,0
74,"F",1995,1.15,1.46,"5","0",4674,1
52,"M",1995,1.63,2.48,"9","0",4984,0
60,"M",1996,0.52,1.16,"1","0",4795,0
50,"M",1999,1.28,1.43,"5","0",3418,0
82,"F",1997,2.39,1.57,"9","0",3995,1
66,"F",1997,0.684,1.66,"4","0",4390,0
71,"F",1995,1.12,0.96,"2","0",4971,0
53,"F",1997,1.03,1.14,"3","0",4319,0
75,"M",1996,0.91,1.25,"3","0",4928,0
83,"F",1997,4.62,4.09,"10","0",2266,0
67,"M",1997,2.08,2.74,"10","0",4480,0
56,"F",1996,0.39,1.18,"1","0",4687,0
59,"M",1996,1.03,1.68,"5","0",4851,0
82,"F",1996,1.19,1.8,"6","0",3176,1
72,"M",1997,0.264,1.15,"1","1",4356,0
55,"M",1996,0.49,0.93,"1","0",4884,0
56,"M",1995,0.54,0.99,"1","0",5053,0
63,"M",1996,1.96,2,"9","0",4928,0
50,"F",1997,1.51,1.41,"6","0",4519,0
52,"M",1997,1.1,0.975,"2","0",2207,0
51,"M",1997,1.22,1.37,"5","0",4308,0
69,"F",1997,2.34,2.79,"10","0",4284,0
50,"F",1999,1.63,2.28,"9","0",3788,0
65,"F",1995,2.81,2.02,"10","0",5215,0
60,"F",1995,1.38,1.59,"6","0",4948,0
79,"M",1998,2.03,1.62,"8","0",319,1
59,"M",1995,0.96,1.1,"2","0",4989,0
60,"M",2000,2.22,2.02,"9","0",3263,0
53,"F",1999,1.01,1.4,"4","0",3228,0
82,"F",1996,1.63,1.86,"8","0",4016,1
53,"F",1996,1.14,1.28,"4","0",4614,0
53,"M",1999,1.24,1.71,"6","0",3598,0
78,"F",1996,0.73,1.13,"2","0",4919,0
54,"F",1997,1.16,1.42,"5","0",4541,0
63,"F",1995,0.55,0.92,"1","0",4947,0
75,"F",1996,1.41,1.58,"6","0",2777,1
86,"F",1996,3.01,2.01,"10","0",1503,1
72,"M",1997,1.16,2.44,"8","0",955,1
75,"F",1998,1.49,1.43,"6","0",3871,0
51,"F",2003,1.41,1.49,"6","0",2275,0
63,"F",1996,0.9,1.06,"2","0",4850,0
58,"F",1996,1.16,1.57,"5","0",4890,0
65,"M",1998,2.28,2.96,"10","0",3520,1
52,"F",1995,1.37,1.77,"7","0",4955,0
71,"M",1997,1.33,1.12,"4","0",2530,0
72,"F",1997,1.06,0.928,"2","0",4355,0
61,"M",1996,0.82,1.81,"5","0",4914,0
64,"F",1996,1.01,1.54,"4","0",3986,1
71,"M",1996,1.4,1.66,"6","0",3473,0
51,"M",2001,1.38,3.07,"9","0",2786,0
83,"M",1997,1.35,1.16,"4","0",2830,1
55,"F",1996,1.56,2.46,"9","0",4883,0
51,"F",1996,0.38,0.78,"1","0",4801,0
52,"M",1996,1.02,1.5,"4","0",4809,0
60,"F",1995,0.36,1.06,"1","0",4999,0
54,"M",1996,1.89,1.59,"8","0",4639,0
53,"M",1999,1,0.897,"2","0",3794,0
54,"M",1998,1.55,1.62,"7","0",3864,0
56,"M",1995,1.67,1.7,"7","0",2340,1
63,"M",1996,1.67,1.71,"8","0",4779,1
63,"F",1999,1.17,1.89,"6","0",3632,0
55,"F",1996,1.19,1.53,"5","0",4913,0
75,"M",1996,1.05,1.95,"6","0",350,1
53,"M",1997,1.14,0.541,"1","1",4309,0
57,"F",1996,1.3,1.46,"5","0",4632,0
59,"F",1996,1.44,1.66,"7","0",4828,0
64,"M",1995,1.19,2.08,"7","0",4116,0
65,"M",1995,0.74,1.24,"2","0",4946,0
51,"F",1997,1.4,1.69,"7","0",4200,0
50,"F",1997,0.885,1.67,"5","0",4551,0
61,"M",1996,0.895,1.71,"5","0",4681,0
53,"F",1996,0.85,1.99,"6","0",4873,0
73,"F",1996,1.26,1.34,"5","0",4844,0
78,"F",1996,2.14,2.07,"9","0",3024,1
65,"M",1995,0.96,1.1,"2","0",3827,1
61,"F",1996,0.908,1.02,"2","0",4640,0
72,"M",1996,1.88,1.85,"8","0",4837,0
67,"M",1996,1.96,1.84,"8","0",4633,0
80,"F",1996,1.44,1.57,"6","0",4927,0
78,"F",1996,2.26,2.12,"9","0",4638,0
54,"F",1996,2.85,3.83,"10","0",771,1
64,"F",1995,0.93,1.33,"3","0",2741,1
63,"M",1995,1,1.03,"2","0",4956,0
58,"M",1995,0.78,1.8,"5","0",19,1
58,"M",2003,1.33,2.24,"8","0",2190,0
51,"M",1996,1.47,1.16,"5","0",70,1
56,"F",1996,0.37,1.2,"1","0",4915,0
76,"F",1995,0.41,1.07,"1","0",907,1
62,"F",1998,2.3,3.44,"10","0",4001,0
67,"M",1998,1.63,2.26,"9","0",1459,0
50,"M",1999,1.97,1.99,"9","0",3805,0
51,"M",2001,1.59,1.61,"7","0",2822,0
60,"M",1996,1.21,1.42,"5","0",4773,0
79,"F",2001,3.92,2.44,"10","0",731,1
53,"M",1999,1.1,1.12,"3","0",1330,0
53,"F",1996,1.22,1.33,"4","0",4878,0
70,"F",1996,1.15,1.37,"4","0",4668,0
67,"F",1996,1.27,1.44,"5","0",4898,0
83,"F",1995,1.97,2.84,"10","0",4202,1
51,"F",2001,1.64,1.57,"7","0",2848,0
68,"F",1997,1.13,1.35,"4","0",4365,0
55,"M",2000,0.874,0.575,"1","0",649,0
59,"F",1996,0.45,0.92,"1","0",4885,0
79,"M",1997,2.17,2.27,"9","0",3728,1
71,"F",1996,0.89,2.22,"7","0",4884,0
72,"F",1996,0.312,0.19,"1","0",4647,0
51,"F",1995,0.99,2.12,"7","0",4983,0
56,"F",1997,0.769,1.06,"2","0",4509,0
51,"F",1996,1.61,1.61,"7","0",4829,0
55,"M",2000,2.23,2.74,"10","0",3401,0
62,"F",1997,0.939,1.21,"3","0",141,0
65,"M",1995,2.41,3.22,"10","0",3745,1
63,"F",1997,0.87,0.8,"1","0",765,0
79,"F",1996,1.53,2.06,"8","0",4440,0
59,"M",1995,2.38,1.76,"9","0",286,1
55,"F",1999,0.83,1.27,"3","0",3674,0
51,"F",1998,1.18,1.57,"5","0",3988,0
76,"M",1997,1.34,1.77,"7","0",4410,0
53,"F",1997,1.11,1.02,"3","0",4404,0
54,"M",1997,0.228,1.17,"1","1",4284,0
78,"F",1995,1.451,1.45,"6","0",4617,1
56,"F",1996,0.778,1.1,"2","0",4689,0
65,"M",1996,2.99,2.54,"10","0",4660,0
59,"M",1996,1.76,1.63,"8","0",4611,0
76,"M",1996,1.75,1.72,"8","0",4831,0
65,"M",1996,1.34,1.42,"5","0",4834,0
52,"M",1997,1.38,1.71,"7","0",4250,0
72,"F",1996,1.5,1.86,"7","0",4751,0
59,"M",1996,0.64,0.93,"1","0",4878,0
51,"F",1997,0.864,1.26,"3","0",4296,0
52,"M",1997,0.397,1.08,"1","0",4528,0
69,"F",1997,1.21,1.39,"5","0",4467,0
66,"F",1996,1.32,1.47,"5","0",3071,1
79,"F",1999,1.34,1.31,"5","0",2523,1
77,"M",1996,3.44,4.53,"10","0",71,1
64,"F",1995,2.72,3.45,"10","0",1256,0
73,"M",1995,1.65,3.74,"10","0",4956,0
60,"F",2000,0.849,1.5,"4","0",3430,0
78,"F",1996,1,1.03,"2","0",3037,1
69,"F",2002,1.63,2.38,"9","0",2511,0
63,"F",1996,0.69,2.06,"5","0",4753,0
74,"F",1996,1.08,1.02,"3","0",4618,0
57,"F",1995,0.36,1.03,"1","0",4988,0
62,"F",1997,1.78,2.49,"9","0",4443,0
72,"M",1997,0.766,1.36,"3","0",4527,0
82,"F",1996,0.873,1.68,"5","0",3408,0
64,"F",1997,1.26,1.21,"4","0",4181,0
87,"F",1997,1.32,2.15,"8","0",3328,1
52,"F",1996,0.88,1.52,"4","0",4876,0
83,"M",1995,1.24,1.56,"5","0",4673,1
51,"M",1997,0.868,1.24,"3","0",4451,0
64,"F",1997,1.04,1.56,"5","0",4005,1
69,"M",1996,0.27,0.98,"1","0",4843,0
65,"F",1997,0.22,0.969,"1","1",4254,0
50,"F",1999,0.964,0.628,"1","0",3632,0
69,"F",1995,0.98,0.82,"2","0",4956,0
50,"F",1996,0.07,0.8,"1","1",4788,0
58,"F",1995,0.89,1.39,"3","0",5005,0
54,"M",1998,0.709,0.943,"1","0",705,0
57,"F",1998,1.26,1.17,"4","0",4089,0
60,"F",1995,0.51,1.13,"1","0",4970,0
61,"M",1996,0.85,0.96,"2","0",4850,0
55,"F",1996,0.79,1.39,"3","0",4892,0
62,"F",1997,1.04,1.55,"5","0",4311,0
64,"M",1996,2.44,2.13,"9","0",4920,0
63,"M",2003,1.09,0.943,"2","0",2052,0
61,"F",1996,0.87,1.05,"2","0",4813,0
69,"F",1996,1.24,1.83,"7","0",4688,0
53,"M",1999,1.14,1.18,"3","0",3702,0
59,"F",1997,1.69,1.89,"8","0",4499,0
63,"M",1995,1.18,1.52,"5","0",4957,0
65,"M",1996,1.16,1.26,"4","0",4766,0
51,"M",2000,1.89,1.45,"7","0",3191,0
54,"F",1996,0.79,0.91,"1","0",4850,0
86,"F",1996,1.71,1.7,"8","0",2839,1
70,"F",1996,1.19,1.36,"4","0",54,1
60,"F",1996,2.67,4.04,"10","0",3076,1
84,"M",1996,3.51,3.33,"10","0",797,1
59,"M",2000,2.37,4.89,"10","0",2706,1
53,"F",1998,0.98,1.65,"5","0",2773,1
58,"M",2000,2.06,2.52,"9","0",3262,0
73,"M",1995,3.9,4.62,"10","0",80,1
63,"M",1995,0.83,0.72,"1","0",4774,1
50,"F",1996,1.8,3.49,"10","0",4899,0
63,"F",1996,1.36,1.29,"5","0",4625,0
55,"F",1997,0.251,0.471,"1","0",4394,0
53,"F",1998,1.33,1.67,"6","0",611,1
83,"F",1996,1.85,1.59,"8","0",4794,0
65,"F",1995,1.02,2.49,"8","0",2727,1
81,"F",1996,1.43,1.78,"7","0",2634,1
70,"M",1995,1,1.16,"3","0",4950,0
60,"F",1995,0.71,1.25,"2","0",4780,1
58,"M",1998,1.34,1.6,"6","0",3912,0
50,"F",1996,0.65,1.41,"2","0",4886,0
67,"F",1996,2.08,1.63,"8","0",1398,1
77,"F",1996,1.95,1.76,"8","0",1304,1
61,"M",1998,1.61,2.45,"9","0",3290,0
54,"F",1996,0.699,1.46,"3","0",4788,0
62,"M",1998,1.02,1.41,"4","0",4059,0
50,"F",1995,0.79,1.07,"2","0",4981,0
51,"F",1997,1.19,0.979,"3","0",399,0
58,"F",1999,2.77,3.1,"10","0",157,1
51,"F",1996,1.17,1.23,"4","0",4736,0
56,"M",1995,0.98,1.49,"4","0",4976,0
52,"M",2003,0.813,1.06,"2","0",2307,0
55,"F",1996,0.93,1.37,"3","0",4925,0
56,"F",1997,2.04,5.24,"10","0",4201,0
55,"M",1997,0.883,1.06,"2","0",4253,0
53,"F",1998,1.29,0.966,"3","0",3865,0
84,"M",1997,2.61,2.57,"10","0",670,1
59,"F",1997,1.06,1.21,"3","0",4416,0
56,"F",1998,1.24,1.1,"4","0",4089,0
50,"F",1996,1.26,2.01,"7","0",4673,0
67,"M",1995,1.17,1.22,"4","0",4991,0
79,"F",1997,1.69,2.19,"9","0",2320,1
78,"F",1995,0.92,1.33,"3","0",4946,0
63,"M",1996,0.61,1.6,"3","0",2691,1
65,"F",1995,0.86,0.98,"2","0",4982,0
66,"M",1996,0.24,0.53,"1","0",4594,0
56,"F",1996,0.93,0.9,"2","0",4827,0
54,"F",1995,1.36,1.54,"6","0",4990,0
66,"M",1997,1.3,1.51,"6","0",1390,1
62,"M",1997,1.17,1.49,"5","0",3375,0
55,"M",1997,0.706,1,"1","0",4550,0
53,"M",2003,1.33,1.28,"5","0",2304,0
83,"M",1995,1.4,1.44,"6","0",2896,1
59,"M",1996,1.27,1.75,"6","0",4772,0
57,"F",1996,1.88,2.14,"9","0",4786,0
62,"M",1996,1.74,1.29,"6","0",4575,0
59,"F",1997,1.27,1.38,"5","0",4506,0
70,"F",1996,1.15,1.4,"4","0",4646,0
50,"F",1999,1.52,1.95,"8","0",3819,0
66,"M",2003,1.42,1.51,"6","0",2290,0
58,"F",1996,1.45,2.28,"8","0",4872,0
68,"M",1998,0.863,2.04,"6","0",2854,1
68,"M",2003,1.74,1.61,"7","0",2142,0
83,"F",1995,1.15,2.18,"7","0",179,1
54,"F",1996,1.3,1.49,"5","0",740,0
59,"M",1997,0.935,1.36,"3","0",4368,0
79,"M",1995,1.73,1.34,"7","0",1241,1
57,"M",1997,2.29,1.74,"9","0",4269,0
55,"F",1997,1.76,1.45,"7","0",4478,0
53,"M",1997,1.2,1.05,"3","0",4247,0
74,"F",1996,1.53,1.39,"6","0",4234,0
87,"F",1997,4.9,3.43,"10","0",2913,1
59,"F",1998,0.702,1.57,"3","0",3862,0
81,"F",1996,0.6,1.38,"2","0",3115,1
53,"M",1999,1.66,2.54,"9","0",3567,0
52,"F",2000,0.661,0.663,"1","0",3298,0
77,"M",1996,4.5,5.67,"10","0",1212,1
70,"M",1995,1.98,2.71,"9","0",3141,1
54,"F",1997,1.57,1.84,"8","0",2645,0
54,"F",1995,0.77,1.36,"3","0",4999,0
52,"F",1995,0.85,1.9,"5","0",4962,0
92,"F",1996,2.24,2.72,"10","0",897,1
51,"M",1999,0.847,1.03,"2","0",3766,0
50,"F",1997,0.637,1.11,"1","0",4338,0
60,"M",1996,1.08,1.55,"5","0",4768,0
84,"F",1995,1.79,2.16,"9","0",2758,1
77,"M",1996,0.92,1.5,"4","0",3904,1
59,"F",1996,1.05,0.415,"1","1",4675,0
55,"M",1996,0.62,1.12,"1","0",4848,0
76,"F",1996,0.4,0.93,"1","0",2944,0
74,"M",1995,1.98,2.12,"9","0",4760,0
65,"M",1995,0.54,0.95,"1","0",4991,0
57,"M",1999,1.25,1.5,"5","0",3826,0
62,"M",2001,2.05,2.02,"9","0",2911,0
61,"M",1997,1.33,1.12,"4","0",4416,0
69,"F",2001,1.25,1.15,"4","0",2773,0
68,"M",1996,1.66,1.96,"8","0",4239,1
52,"F",1996,1.05,1.33,"4","0",4787,0
72,"M",1996,1.16,1.97,"7","0",4806,0
74,"F",1996,1.64,2.21,"8","0",3815,0
82,"M",1997,2.06,2.75,"10","0",2635,1
56,"M",1996,0.399,1.15,"1","0",4571,0
55,"M",1997,2.87,2.37,"10","0",1940,1
59,"M",1997,0.872,1.05,"2","0",4293,0
83,"F",2000,1.62,1.73,"7","0",304,0
65,"M",1996,0.6,1.29,"2","0",4920,0
76,"F",1996,1.16,1.09,"3","0",4789,0
55,"M",1999,1.93,1.74,"8","0",1837,0
76,"M",1997,1.11,1.38,"4","0",4467,0
80,"F",1996,0.744,1.47,"3","0",4703,0
73,"F",1995,1.36,1.26,"5","0",4582,1
59,"F",1996,1.53,1.62,"7","0",4850,0
66,"F",1997,0.887,0.873,"2","0",4240,0
70,"M",1995,0.95,1.08,"2","0",3730,1
55,"F",2003,1.88,1.9,"8","0",2232,0
70,"F",1995,1.08,1.22,"3","0",1596,1
62,"F",2003,1.93,1.77,"8","0",1497,0
63,"M",1995,2.03,2.5,"9","0",4421,1
82,"F",1995,1.73,2.02,"8","0",3431,1
87,"F",1996,1.41,1.33,"5","0",3367,1
79,"M",1996,1.6,1.94,"8","0",3291,1
69,"M",2001,1.89,2.33,"9","0",901,1
85,"F",1997,2.2,2.67,"10","0",1442,1
65,"M",1998,2.29,1.69,"9","0",3927,0
68,"M",1995,1.22,1.64,"6","0",4998,0
72,"M",1997,1.08,1.63,"5","0",1381,1
63,"M",1995,0.67,0.76,"1","0",1975,0
55,"F",1996,0.421,0.414,"1","0",4691,0
66,"F",2003,1.86,1.32,"7","0",664,1
68,"M",1996,0.49,1.1,"1","0",1494,1
58,"M",1996,1.07,1.8,"6","0",4887,0
52,"F",1995,1.2,1.22,"4","0",5130,0
57,"F",1995,1.14,1.08,"3","0",4974,0
56,"F",1998,0.917,1.4,"3","0",3968,0
73,"M",1998,2.31,1.58,"9","0",3913,0
61,"F",1996,1.96,2.12,"9","0",2652,1
80,"M",1995,1.66,1.53,"7","0",5005,0
83,"M",1997,2.11,1.97,"9","0",4541,0
73,"F",1996,0.39,0.79,"1","0",4864,0
53,"M",2003,0.953,1.18,"3","0",2269,0
72,"F",1996,0.715,1.05,"2","0",4774,0
50,"M",1996,0.945,1.07,"2","0",4592,0
74,"F",1996,1.69,1.89,"8","0",4621,0
57,"F",1997,2.15,1.75,"9","0",4519,0
69,"M",1996,1.64,2.31,"9","0",2231,1
63,"M",1995,2.16,2.65,"10","0",2239,1
68,"F",1998,0.686,0.873,"1","0",4078,0
50,"M",1997,0.947,1.13,"2","0",4352,0
67,"M",1996,0.626,0.959,"1","0",4640,0
56,"M",1996,0.981,1.3,"3","0",4569,0
55,"F",1996,1.33,1.86,"7","0",4731,0
51,"M",1996,0.72,1.68,"4","0",4843,0
58,"F",1996,0.76,1.21,"2","0",4843,0
69,"F",1996,1.39,1.44,"6","0",4675,0
52,"M",2003,0.905,1.33,"3","0",157,0
64,"M",1996,1.96,2.03,"9","0",4914,0
68,"F",1996,0.49,0.99,"1","0",2027,1
64,"F",1996,2.28,1.64,"9","0",4751,0
57,"M",1995,0.36,1.06,"1","0",5003,0
53,"F",1998,1.81,2.25,"9","0",4108,0
63,"M",1995,1.53,2.07,"8","0",5139,0
52,"F",1996,0.997,1.12,"3","0",2386,0
80,"M",1996,1.54,2.24,"8","0",4375,0
54,"F",1998,1.8,1.87,"8","0",3843,0
54,"F",2000,1.04,1.43,"4","0",3321,0
59,"M",2001,1.36,1.29,"5","0",3032,0
71,"M",1995,4.4,5.13,"10","0",2748,1
88,"F",1996,1.7,3.77,"10","0",1657,1
59,"M",1997,1.15,1.7,"6","0",4319,0
59,"M",1996,0.999,1.15,"3","0",4592,0
74,"M",1997,0.999,1.07,"2","0",3011,1
60,"M",1998,1.6,2.85,"9","0",3885,0
55,"M",1998,0.991,1.05,"2","0",4180,0
59,"F",1996,1.13,1.36,"4","0",4925,0
61,"M",1996,1.36,1.31,"5","0",4836,0
71,"F",1997,1.21,1.35,"5","0",4291,0
51,"F",1997,2.16,1.66,"8","0",4410,0
60,"F",2003,1.48,1.75,"7","0",2194,0
56,"M",1997,0.983,1.53,"4","0",4340,0
61,"F",1995,1.1,1.29,"4","0",4995,0
63,"F",1996,1.16,1.3,"4","0",4829,0
57,"F",1995,1.6,1.73,"7","0",4928,1
63,"M",2003,2.13,1.66,"8","0",2295,0
67,"F",1996,1.33,1.81,"7","0",4745,0
66,"F",1998,1.71,2.03,"8","0",4123,0
61,"F",1996,2.95,2.09,"10","0",4702,0
68,"M",1996,1.96,1.57,"8","0",4592,0
52,"F",1996,1.14,1.86,"6","0",4908,0
68,"F",1996,1.55,2.28,"8","0",2415,1
60,"F",1997,1.69,1.78,"8","0",1592,1
90,"F",1996,2.1,2.8,"10","0",1207,1
84,"M",1995,2.78,3.14,"10","0",2267,1
51,"F",1997,0.709,1.42,"3","0",4344,0
67,"F",1996,0.728,1.28,"2","0",4771,0
72,"M",1995,0.58,0.76,"1","0",3428,1
81,"F",1996,2.8,2.17,"10","0",1706,1
92,"F",1996,3.12,2.39,"10","0",687,1
51,"F",1999,0.89,1.05,"2","0",3798,0
59,"F",2000,0.846,1.04,"2","0",3162,0
59,"M",1996,1.99,1.67,"8","0",4591,0
53,"F",1998,1.53,1.72,"7","0",4011,0
55,"F",1996,1.08,1.05,"3","0",4898,0
77,"F",1996,1.07,1.42,"4","0",1393,1
60,"F",1996,3.15,1.99,"10","0",4795,0
73,"M",1996,0.99,1.3,"3","0",4830,0
85,"F",1995,2.45,2.11,"9","0",2489,1
50,"F",1997,0.299,1.03,"1","0",4541,0
53,"F",1996,2.31,2.11,"9","0",4632,0
60,"M",1995,1.02,1.23,"3","0",1841,1
51,"F",1995,2.06,1.6,"8","0",4988,0
66,"F",1995,0.56,0.73,"1","0",4991,0
62,"M",1996,1.08,1.3,"4","0",4765,0
74,"F",1996,1.9,2.61,"9","0",4613,0
75,"F",1997,0.98,0.844,"2","0",1524,1
74,"F",1998,1.2,1.29,"4","0",4022,0
60,"F",1996,0.5,0.91,"1","0",4921,0
52,"M",1996,1.17,0.95,"3","0",4890,0
56,"F",1997,1.33,2.14,"8","0",4393,0
59,"M",1996,0.98,2.12,"7","0",4872,0
75,"M",1998,1.39,1.99,"8","0",2515,1
64,"F",2003,1.42,2.04,"8","0",2273,0
66,"M",1995,0.69,1.59,"3","0",5061,0
54,"M",1996,1.28,1.36,"5","0",4761,0
51,"F",1996,1.46,2.17,"8","0",4885,0
59,"M",1999,1.24,1.877,"7","0",3689,0
66,"M",1995,1.16,2.31,"8","0",4971,0
69,"M",1996,0.71,1,"1","0",4750,0
51,"F",1996,1.08,1.45,"4","0",4719,0
61,"M",1996,0.88,1.22,"3","0",4870,0
63,"M",1996,0.92,1.3,"3","0",4817,0
74,"F",1998,2.21,2.17,"9","0",4025,1
73,"F",1997,1.39,1.31,"5","0",2706,0
51,"F",1998,1.57,1.84,"8","0",2086,0
51,"M",2000,0.768,1.53,"3","0",3413,0
70,"F",1996,1.41,1.46,"6","0",4879,0
55,"M",1997,1.28,1.43,"5","0",746,1
63,"F",1996,0.926,1.31,"3","0",4771,0
50,"M",1999,1.47,4.51,"10","0",3822,0
64,"M",1996,1.43,1.76,"7","0",4034,1
51,"F",1995,1.71,1.06,"5","0",4975,0
57,"M",1997,0.96,1.42,"4","0",4234,0
76,"M",1998,3.62,2.44,"10","0",1513,1
54,"M",1997,3.57,10,"10","0",406,1
57,"F",1996,0.803,1.03,"2","0",4773,0
61,"M",2003,3.5,3.18,"10","0",2295,0
60,"M",1997,1.01,0.882,"2","0",4250,0
53,"M",1996,1.11,1.41,"4","0",4632,0
55,"F",1995,1.1,1.05,"3","0",4996,0
55,"M",1995,1.17,1.67,"6","0",4932,0
59,"F",1995,0.87,1.41,"3","0",4987,0
55,"F",1998,1.09,1.24,"3","0",812,0
75,"M",1996,1.73,1.68,"8","0",2925,1
56,"F",1995,0.62,0.92,"1","0",4946,0
82,"F",1996,1.66,2.17,"8","0",751,1
53,"F",1996,1.45,1.49,"6","0",4880,0
63,"F",1996,0.32,1.01,"1","0",4715,0
59,"F",2000,1.86,1.5,"7","0",1915,0
87,"F",1996,1.23,1.8,"6","0",3285,1
80,"F",1996,1.41,1.11,"4","0",2635,1
84,"F",1995,1.16,1.24,"4","0",3217,1
71,"M",1996,1.77,1.34,"7","0",2204,0
64,"M",1995,1.73,1.83,"8","0",4985,0
75,"F",1997,1.58,1.81,"8","0",2948,1
86,"M",1996,2.15,1.76,"9","0",2380,1
50,"M",1996,0.621,0.958,"1","0",4640,0
73,"M",1998,1.81,1.28,"7","0",4176,0
59,"M",1995,0.7,1.34,"2","0",4971,0
51,"M",1997,0.866,1.49,"4","0",4247,0
74,"F",1996,1.41,1.26,"5","0",4642,0
69,"F",1998,2.53,3.28,"10","0",1983,1
78,"M",1996,3.01,3.02,"10","0",2321,1
71,"M",1998,0.654,1.14,"2","0",3928,0
54,"F",2000,0.966,1.25,"3","0",3302,0
70,"F",1998,0.777,1.02,"2","0",4038,0
66,"F",1996,1.58,1.41,"6","0",3999,1
79,"F",1996,1.27,1.18,"4","0",2803,1
55,"F",1996,0.953,1.32,"3","0",4676,0
50,"F",1996,1.04,0.943,"2","0",1413,0
50,"F",1997,0.988,1.14,"3","0",4332,0
52,"M",1998,1.05,1.3,"4","0",4193,0
69,"F",1998,3.58,5.85,"10","0",1183,1
59,"F",1996,0.75,1.17,"2","0",4880,0
51,"F",1996,0.29,0.95,"1","0",4821,0
61,"M",1996,1.03,1.39,"4","0",4765,0
76,"F",1996,1.58,5.02,"10","0",4876,0
66,"M",1996,1.44,3.48,"10","0",4335,1
52,"M",1997,1.48,2.99,"9","0",4548,0
57,"M",1997,0.318,0.889,"1","0",4527,0
69,"M",1995,1.88,2.56,"9","0",5,1
55,"F",1997,1.1,2.37,"8","0",4551,0
51,"M",2002,1.41,1.54,"6","0",2492,0
59,"M",1996,2.34,3.07,"10","0",1338,1
55,"F",1999,0.913,1.61,"4","0",3093,0
54,"F",1996,0.84,2.2,"6","0",4801,0
53,"M",1996,1.07,1.34,"4","0",4482,0
62,"M",1996,1.15,0.98,"3","0",4785,0
52,"M",1996,1.85,1.76,"8","0",4567,1
86,"M",1995,0.97,0.89,"2","0",130,1
50,"M",1996,0.705,1.66,"4","0",3547,1
78,"F",2000,2.05,1.84,"9","0",2942,1
60,"M",1995,1.44,1.49,"6","0",2740,1
65,"F",2001,3.8,5.43,"10","0",303,1
63,"M",1997,1.1,0.942,"2","0",4296,0
66,"M",1996,2.01,2.64,"9","0",4913,0
73,"M",1996,1.39,1.58,"6","0",4908,0
58,"F",2000,1.48,1.55,"6","0",3461,0
75,"M",1997,3.1,2.86,"10","0",4255,0
82,"M",1995,2,1.7,"8","0",258,1
51,"M",2000,1.61,1.62,"7","0",3213,0
69,"F",1996,10.2,11.4,"10","0",686,1
72,"M",1995,1.73,1.92,"8","0",5095,0
60,"M",1996,1.24,1.65,"6","0",4894,0
88,"F",1996,2.47,2.03,"9","0",1223,1
63,"F",1996,1.75,1.5,"7","0",4669,0
65,"F",1995,1.24,1.5,"5","0",4984,0
50,"M",1997,0.88,1.18,"2","0",4397,0
52,"F",1997,0.786,0.868,"1","0",4400,0
75,"M",1997,2.12,1.86,"9","0",3950,1
66,"F",1995,0.99,2.37,"7","0",5046,0
60,"F",1998,0.676,0.56,"1","0",4088,0
